#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
50,Georgia,"1,840,187",,"17,059                                ",,"1,776,548",,"46,580",,"463,671","4,298","16,920,079","4,263,340","3,968,738 ",Asia,,22330,,,"11,737"
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181
52,Ireland,"1,710,625",,"8,866                                ",,"1,699,569",,"2,190",19,"340,748","1,766","13,083,449","2,606,161","5,020,199 ",Europe,,35660,,,436
53,Pakistan,"1,580,868",+16,"30,659                                ",,"1,538,689",,"11,520",9,"6,889",134,"30,571,377","133,215","229,488,994 ",Asia,,"1457,4858",0.07,,50
54,Norway,"1,483,454",,"5,213                                ",,"1,477,374",+88,867,20,"269,162",946,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0571",,,157
55,Finland,"1,475,378",,"9,373                                ",,"1,460,576",+391,"5,429",21,"265,597","1,687","12,090,288","2,176,485","5,554,960 ",Europe,,45930,,,977
56,Kazakhstan,"1,411,831",,"13,848                                ",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",,,779
57,Slovenia,"1,343,431",,"7,100                                ",,"1,328,006",,"8,325",8,"646,491","3,417","2,847,701","1,370,382","2,078,034 ",Europe,,22931,,,"4,006"
58,Lithuania,"1,318,952",,"9,673                                ",,"1,307,391",,"1,888",1,"495,528","3,634","10,440,103","3,922,332","2,661,708 ",Europe,,22750,,,709
59,Bulgaria,"1,305,204",,"38,341                                ",,"1,264,164",,"2,699",30,"190,691","5,602","11,192,958","1,635,298","6,844,597 ",Europe,,51791,,,394
60,Morocco,"1,273,463",,"16,297                                ",,"1,256,151",,"1,015",3,"33,714",431,"13,001,033","344,191","37,772,756 ",Africa,,"302,3183",,,27
61,Croatia,"1,272,886",,"18,180                                ",,"1,253,558",,"1,148",6,"313,574","4,479","5,582,393","1,375,215","4,059,286 ",Europe,,32231,,,283
62,Guatemala,"1,248,946",,"20,196                                ",,"1,227,491",,"1,259",5,"67,205","1,087","7,235,362","389,332","18,584,039 ",North America,,159203,,,68
63,Lebanon,"1,237,127",,"10,906                                ",,"1,087,587",,"138,634",74,"185,064","1,631","4,795,578","717,380","6,684,849 ",Asia,,56131,,,"20,739"
64,Costa Rica,"1,228,659",,"9,351                                ",,"860,711",,"358,597",52,"237,085","1,804","4,659,757","899,158","5,182,354 ",North America,,45541,,,"69,196"
65,Bolivia,"1,197,614",,"22,378                                ",,"1,166,693",,"8,543",220,"99,862","1,866","2,705,422","225,590","11,992,656 ",South America,,105364,,,712
66,Tunisia,"1,152,877",,"29,398                                ",,N/A,N/A,N/A,44,"95,701","2,440","5,010,521","415,926","12,046,656 ",Africa,,104102,,,"1,119"
67,Cuba,"1,113,431",,"8,530                                ",,"1,104,736",,165,2,"98,484",754,"14,345,279","1,268,859","11,305,652 ",North America,,"101,3251",,,15
68,UAE,"1,063,971",,"2,349                                ",,"1,048,613",,"13,009",,"105,534",233,"200,468,424","19,884,219","10,081,785 ",Asia,,"94,2920",,,"1,290"
69,Ecuador,"1,061,100",,"36,019                                ",,"1,023,974",,"1,107",759,"58,581","1,989","3,082,403","170,173","18,113,361 ",South America,,175036,,,61
70,Uruguay,"1,037,893",,"7,625                                ",,"1,029,835",,433,18,"296,879","2,181","6,114,822","1,749,083","3,496,016 ",South America,,34581,,,124
71,Panama,"1,037,324",,"8,621                                ",,"1,028,182",,521,16,"233,266","1,939","7,660,443","1,722,623","4,446,964 ",North America,,45161,,,117
72,Mongolia,"1,007,993",,"2,179                                ",,"1,005,787",,27,192,"298,392",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,8
73,Nepal,"1,003,082",,"12,031                                ",,"990,914",,137,,"33,187",398,"6,036,927","199,729","30,225,582 ",Asia,,"302,5125",,,5
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141
75,Latvia,"977,697",,"6,325                                ",,"971,095",,277,13,"528,817","3,421","7,874,100","4,258,948","1,848,837 ",Europe,,22920,,,150
76,Saudi Arabia,"841,469",,"9,646                                ",,"827,923",,"3,900",66,"23,475",269,"45,481,735","1,268,848","35,844,909 ",Asia,,"433,7161",,,109
77,Azerbaijan,"831,540",,"10,257                                ",,"821,100",,183,,"80,730",996,"7,596,487","737,508","10,300,205 ",Asia,,"121,0041",,,18
78,Paraguay,"809,955",,"19,921                                ",,N/A,N/A,N/A,7,"110,864","2,727","2,657,506","363,751","7,305,843 ",South America,,93673,,,"12,554"
79,Bahrain,"720,526",,"1,562                                ",,"718,543",,421,2,"403,886",876,"10,833,995","6,072,925","1,783,983 ",Asia,,"21,1420",,,236
80,Sri Lanka,"672,207",,"16,844                                ",,"655,329",,34,,"31,156",781,"6,486,117","300,619","21,575,842 ",Asia,,"321,2813",,,2
81,Kuwait,"665,741",,"2,570                                ",,"660,237",,"2,934",,"151,984",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,670
82,Dominican Republic,"661,045",,"4,384                                ",,"644,785",,"11,876",4,"59,789",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,"1,074"
83,Cyprus,"660,854",,"1,364                                ",,"655,540",,"3,950",60,"540,184","1,115","9,640,118","7,879,860","1,223,387 ",Asia,,28970,,,"3,229"
